#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
1,USA,"25,566,789",,"427,635 ",,"15,330,949",,"9,808,205","26,998","76,986","1,288","297,396,960","895,510","332,097,997 "
2,India,"10,655,435",,"153,376 ",,"10,316,786",+690,"185,273","8,944","7,679",111,"191,766,871","138,196","1,387,641,848 "
3,Brazil,"8,816,254",,"216,475 ",,"7,628,438",,"971,341","8,318","41,311","1,014","28,600,000","134,013","213,411,432 "
4,Russia,"3,719,400","+21,127","69,462 ",+491,"3,131,760","+22,445","518,178","2,300","25,481",476,"99,300,000","680,277","145,969,890 "
5,UK,"3,617,459",,"97,329 ",,"1,616,307",,"1,903,823","4,076","53,130","1,429","67,231,066","987,424","68,087,328 "
6,France,"3,035,181",,"72,877 ",,"216,725",,"2,745,579","2,896","46,441","1,115","41,549,254","635,745","65,355,200 "
7,Spain,"2,603,472",,"55,441 ",,N/A,N/A,N/A,"3,908","55,671","1,186","30,165,217","645,038","46,765,031 "
8,Italy,"2,455,185",,"85,162 ",,"1,871,189",,"498,834","2,386","40,641","1,410","30,717,824","508,477","60,411,435 "
9,Turkey,"2,424,328",,"24,933 ",,"2,301,861",,"97,534","1,962","28,572",294,"28,348,659","334,105","84,849,626 "
10,Germany,"2,137,689",,"52,536 ",,"1,807,500","+12,100","277,653","4,787","25,468",626,"37,449,922","446,176","83,935,370 "
11,Colombia,"2,002,969",,"50,982 ",,"1,822,309",,"129,678","3,482","39,130",996,"9,575,784","187,071","51,188,022 "
12,Argentina,"1,862,192",,"46,737 ",,"1,646,668",,"168,787","3,618","40,991","1,029","5,853,255","128,843","45,429,329 "
13,Mexico,"1,752,347","+20,057","149,084 ","+1,470","1,306,138","+14,198","297,125","5,652","13,511","1,149","4,404,916","33,964","129,694,962 "
14,Poland,"1,470,879",,"35,253 ",,"1,222,782",,"212,844","1,477","38,888",932,"8,328,586","220,198","37,823,122 "
15,South Africa,"1,404,839",,"40,574 ",,"1,217,492",,"146,773",546,"23,520",679,"7,947,007","133,051","59,728,863 "
16,Iran,"1,367,032",,"57,294 ",,"1,158,475",,"151,263","4,106","16,159",677,"8,634,553","102,067","84,596,958 "
17,Ukraine,"1,191,812","+3,915","21,861 ",+83,"947,514","+5,407","222,437",177,"27,345",502,"6,057,828","138,991","43,584,462 "
18,Peru,"1,093,938",,"39,608 ",,"1,007,748",,"46,582","1,779","32,920","1,192","6,060,702","182,388","33,229,711 "
19,Indonesia,"977,474",,"27,664 ",,"791,059",,"158,751",,"3,553",101,"8,706,505","31,643","275,150,984 "
20,Netherlands,"944,042",,"13,510 ",,N/A,N/A,N/A,664,"55,026",787,"6,970,400","406,288","17,156,315 "
21,Czechia,"937,617","+4,222","15,369 ",+52,"814,903",+332,"107,345","1,046","87,462","1,434","5,797,458","540,797","10,720,220 "
22,Canada,"742,531",,"18,974 ",,"658,984",,"64,573",868,"19,577",500,"16,996,450","448,117","37,928,559 "
23,Romania,"709,194",,"17,722 ",,"650,189",,"41,283","1,016","37,005",925,"5,289,874","276,021","19,164,741 "
24,Chile,"694,647",,"17,854 ",,"649,802",,"26,991","1,221","36,163",929,"7,586,356","394,945","19,208,645 "
25,Belgium,"691,854","+2,583","20,726 ",+51,"47,963",+143,"623,165",338,"59,550","1,784","7,869,430","677,341","11,618,113 "
26,Portugal,"624,469",,"10,194 ",,"451,324",,"162,951",720,"61,344","1,001","6,722,120","660,336","10,179,844 "
27,Iraq,"612,870",,"12,988 ",,"579,838",,"20,044",154,"15,049",319,"5,342,787","131,188","40,726,276 "
28,Israel,"593,961",,"4,341 ",,"512,932",,"76,688","1,177","64,578",472,"9,925,207","1,079,110","9,197,590 "
29,Sweden,"547,166",,"11,005 ",,N/A,N/A,N/A,303,"53,989","1,086","4,916,367","485,098","10,134,794 "
30,Pakistan,"532,412","+1,594","11,295 ",+48,"486,489","+1,981","34,628","2,070","2,384",51,"7,642,665","34,227","223,291,362 "
31,Bangladesh,"531,326",,"8,003 ",,"475,899",,"47,424",,"3,208",48,"3,541,389","21,384","165,612,917 "
32,Philippines,"513,619","+1,949","10,242 ",+53,"475,612","+7,729","27,765",727,"4,652",93,"7,523,277","68,145","110,400,232 "
33,Switzerland,"509,279",,"9,050 ",,"317,600",,"182,629",310,"58,603","1,041","4,135,714","475,900","8,690,307 "
34,Morocco,"465,769",,"8,128 ",,"441,693",,"15,948",454,"12,535",219,"5,279,309","142,083","37,156,511 "
35,Austria,"403,512",,"7,389 ",,"380,248",,"15,875",323,"44,659",818,"4,178,647","462,475","9,035,401 "
36,Serbia,"382,285",,"3,868 ",,"31,536",,"346,881",165,"43,853",444,"2,536,948","291,021","8,717,395 "
37,Saudi Arabia,"366,185",,"6,350 ",,"357,728",,"2,107",329,"10,427",181,"11,958,198","340,516","35,117,920 "
38,Hungary,"359,574","+1,257","11,968 ",+64,"241,472","+1,592","106,134",254,"37,275","1,241","3,052,068","316,393","9,646,439 "
39,Japan,"356,074",,"4,935 ",,"285,522",,"65,617","1,009","2,820",39,"6,338,596","50,204","126,256,814 "
40,Jordan,"319,519",,"4,217 ",,"306,246",,"9,056",121,"31,142",411,"3,691,350","359,775","10,260,149 "
41,Panama,"309,851",,"5,034 ",,"256,597",,"48,220",251,"71,183","1,156","1,603,361","368,347","4,352,853 "
42,Lebanon,"276,587",,"2,270 ",,"164,348",,"109,969",843,"40,626",333,"2,483,323","364,761","6,808,091 "
43,UAE,"274,376",,783 ,,"247,318",,"26,275",,"27,555",79,"24,377,938","2,448,181","9,957,571 "
44,Nepal,"269,180",,"1,994 ",,"263,734",,"3,452",,"9,146",68,"2,038,842","69,277","29,430,213 "
45,Georgia,"253,518",+546,"3,055 ",+17,"242,085","+1,456","8,378",,"63,621",767,"2,086,815","523,690","3,984,826 "
46,Ecuador,"238,232",,"14,596 ",,"199,332",,"24,304",490,"13,389",820,"840,804","47,254","17,793,334 "
47,Belarus,"235,859",,"1,639 ",,"220,912",,"13,308",,"24,965",173,"4,348,389","460,266","9,447,562 "
48,Slovakia,"234,571",,"3,965 ",,"186,683",,"43,923",578,"42,953",726,"1,678,672","307,385","5,461,139 "
49,Azerbaijan,"228,688",,"3,072 ",,"219,724",,"5,892",,"22,441",301,"2,354,473","231,043","10,190,648 "
50,Croatia,"228,568",,"4,799 ",,"220,537",,"3,232",142,"55,873","1,173","1,149,691","281,038","4,090,880 "
51,Bulgaria,"214,696",,"8,811 ",,"178,888",,"26,997",281,"31,031","1,274","1,315,515","190,139","6,918,698 "
52,Dominican Republic,"202,507",,"2,513 ",,"147,147",,"52,847",317,"18,563",230,"995,970","91,297","10,909,138 "
53,Bolivia,"199,989","+1,732","9,927 ",+56,"149,895","+1,145","40,167",71,"17,002",844,"513,830","43,684","11,762,431 "
54,Tunisia,"195,314",,"6,154 ",,"141,862",,"47,298",418,"16,429",518,"809,402","68,084","11,888,205 "
55,Denmark,"193,917",,"1,969 ",,"178,967",,"12,981",125,"33,412",339,"12,576,249","2,166,926","5,803,729 "
56,Costa Rica,"189,308",,"2,518 ",,"146,448",,"40,342",205,"36,972",492,"567,141","110,763","5,120,315 "
57,Ireland,"186,184",,"2,947 ",,"23,364",,"159,873",214,"37,471",593,"2,900,940","583,830","4,968,808 "
58,Malaysia,"180,455",,667 ,,"137,019",,"42,769",260,"5,536",20,"4,369,262","134,031","32,598,981 "
59,Kazakhstan,"176,974","+1,584","2,403 ",,"159,486",+839,"15,085",221,"9,362",127,"5,942,556","314,372","18,902,961 "
60,Lithuania,"176,624",+773,"2,649 ",+21,"119,085",+192,"54,890",166,"65,401",981,"1,867,777","691,612","2,700,612 "
61,Armenia,"166,036",+127,"3,039 ",+5,"154,708",+173,"8,289",,"55,973","1,024","636,765","214,661","2,966,376 "
62,Egypt,"161,143",,"8,902 ",,"126,176",,"26,065",90,"1,558",86,"1,000,000","9,670","103,414,383 "
63,Kuwait,"160,901",,952 ,,"153,746",,"6,203",50,"37,367",221,"1,455,481","338,012","4,306,008 "
64,Slovenia,"157,293",,"3,329 ",,"135,262",,"18,702",192,"75,654","1,601","773,778","372,170","2,079,100 "
65,Moldova,"155,937",,"3,347 ",,"146,406",,"6,184",221,"38,707",831,"610,008","151,418","4,028,647 "
66,Palestine,"155,006",,"1,783 ",,"144,297",,"8,926",73,"29,996",345,"982,688","190,165","5,167,567 "
67,Guatemala,"153,890",,"5,456 ",,"137,711",,"10,723",5,"8,502",301,"734,745","40,591","18,101,049 "
68,Greece,"151,646",,"5,622 ",,"139,557",,"6,467",292,"14,590",541,"3,961,627","381,140","10,394,142 "
69,Qatar,"148,772",,248 ,,"144,740",,"3,784",37,"52,985",88,"1,347,631","479,959","2,807,805 "
70,Honduras,"140,238","+1,056","3,441 ",+2,"60,448",+38,"76,349",215,"14,034",344,"350,529","35,078","9,992,929 "
71,Myanmar,"137,098",,"3,045 ",,"121,124",,"12,929",,"2,510",56,"2,250,141","41,200","54,615,532 "
72,Ethiopia,"133,298",,"2,063 ",,"118,730",,"12,505",239,"1,144",18,"1,913,618","16,419","116,550,414 "
73,Oman,"132,486",,"1,517 ",,"124,730",,"6,239",23,"25,582",293,"883,340","170,563","5,178,963 "
74,Paraguay,"127,081",,"2,607 ",,"102,344",,"22,130",243,"17,695",363,"627,544","87,380","7,181,779 "
75,Venezuela,"123,245",,"1,142 ",,"115,426",,"6,677",105,"4,341",40,"2,558,488","90,119","28,390,239 "
76,Nigeria,"120,602",,"1,502 ",,"95,901",,"23,199",10,577,7,"1,241,230","5,939","208,986,596 "
77,Bosnia and Herzegovina,"119,420",,"4,555 ",,"90,691",,"24,174",,"36,529","1,393","575,996","176,187","3,269,222 "
78,Libya,"112,540",,"1,737 ",,"90,952",,"19,851",,"16,254",251,"616,191","88,997","6,923,760 "
79,Algeria,"105,369",,"2,861 ",,"71,755",,"30,753",42,"2,379",65,,,"44,294,352 "
80,Kenya,"99,898",,"1,740 ",,"82,936",,"15,222",27,"1,835",32,"1,153,121","21,184","54,432,579 "
81,Bahrain,"99,456",,367 ,,"96,112",,"2,977",18,"57,347",212,"2,616,227","1,508,522","1,734,298 "
82,North Macedonia,"90,471",,"2,779 ",,"76,423",,"11,269",138,"43,426","1,334","441,134","211,745","2,083,326 "
83,China,"88,991",+80,"4,635 ",,"82,556",+30,"1,800",94,62,3,"160,000,000","111,163","1,439,323,776 "
84,Kyrgyzstan,"83,900",+104,"1,400 ",+2,"79,927",+155,"2,573",50,"12,742",213,"643,713","97,762","6,584,521 "
85,Uzbekistan,"78,375",+58,621 ,,"76,815",+37,939,156,"2,323",18,"1,377,915","40,837","33,741,419 "
86,S. Korea,"75,084",+392,"1,349 ",+12,"62,530",+486,"11,205",282,"1,464",26,"5,354,349","104,385","51,294,159 "
87,Albania,"71,441",,"1,310 ",,"43,384",,"26,747",39,"24,840",455,"326,888","113,660","2,876,016 "
88,Norway,"60,803",,544 ,,"49,835",,"10,424",37,"11,166",100,"3,259,678","598,641","5,445,134 "
89,Latvia,"60,496",,"1,097 ",,"48,134",,"11,265",95,"32,276",585,"1,101,855","587,870","1,874,316 "
90,Ghana,"60,115",,361 ,,"56,955",,"2,799",21,"1,912",11,"730,557","23,240","31,435,360 "
91,Singapore,"59,308",+48,29 ,,"59,015",,264,,"10,093",5,"6,061,147","1,031,461","5,876,275 "
92,Montenegro,"57,929",,766 ,,"49,150",,"8,013",68,"92,227","1,220","217,411","346,135","628,111 "
93,Sri Lanka,"57,587",,280 ,,"49,261",,"8,046",,"2,683",13,"1,557,630","72,570","21,463,968 "
94,Afghanistan,"54,672",+77,"2,385 ",+7,"47,298",+355,"4,989",845,"1,387",61,"238,778","6,058","39,417,654 "
95,El Salvador,"52,672",,"1,551 ",,"46,370",,"4,751",105,"8,098",238,"675,048","103,779","6,504,683 "
96,Luxembourg,"49,581",,564 ,,"46,656",,"2,361",14,"78,490",893,"1,836,163","2,906,765","631,686 "
97,Zambia,"44,592",,627 ,,"34,293",,"9,672",446,"2,388",34,"828,606","44,381","18,670,195 "
98,Finland,"42,334",,644 ,,"31,000",,"10,690",24,"7,634",116,"2,723,590","491,127","5,545,590 "
99,Estonia,"40,184",,368 ,,"29,747",,"10,069",45,"30,281",277,"736,488","554,986","1,327,040 "
100,Uganda,"39,044",,317 ,,"13,861",,"24,866",,839,7,"813,825","17,486","46,542,055 "
101,Uruguay,"36,967",,367 ,,"28,547",,"8,053",96,"10,621",105,"795,172","228,463","3,480,534 "
102,Namibia,"32,213",,317 ,,"29,831",,"2,065",29,"12,551",124,"252,751","98,474","2,566,666 "
103,Mozambique,"31,628",,297 ,,"20,002",,"11,329",,996,9,"321,960","10,143","31,742,268 "
104,Zimbabwe,"31,007",,974 ,,"21,377",,"8,656",106,"2,069",65,"269,502","17,986","14,984,341 "
105,Cyprus,"29,887",,183 ,,"2,057",,"27,647",59,"24,653",151,"953,967","786,897","1,212,315 "
106,Cameroon,"29,617",,462 ,,"28,045",,"1,110",46,"1,100",17,"149,000","5,536","26,914,047 "
107,Australia,"28,766",+5,909 ,,"25,985",+11,"1,872",1,"1,121",35,"12,712,654","495,306","25,666,242 "
108,Ivory Coast,"26,612",,145 ,,"24,595",,"1,872",,995,5,"311,656","11,654","26,742,265 "
109,Sudan,"26,279",,"1,603 ",,"15,688",,"8,988",,592,36,,,"44,420,337 "
110,Senegal,"24,459",,569 ,,"20,284",,"3,606",47,"1,440",33,"310,971","18,304","16,989,527 "
111,DRC,"21,713",,654 ,,"14,903",,"6,156",,238,7,,,"91,072,592 "
112,Cuba,"20,627",,191 ,,"15,881",,"4,555",46,"1,822",17,"1,763,994","155,793","11,322,699 "
113,Botswana,"19,654",,105 ,,"15,911",,"3,638",1,"8,264",44,"613,944","258,158","2,378,171 "
114,Angola,"19,367",,457 ,,"17,249",,"1,661",21,579,14,"174,111","5,208","33,433,400 "
115,Malawi,"18,439",,470 ,,"6,520",,"11,449",4,950,24,"125,067","6,445","19,405,200 "
116,Madagascar,"18,301",,273 ,,"17,609",,419,16,652,10,"105,342","3,751","28,087,440 "
117,French Polynesia,"17,852",,128 ,,"4,842",,"12,882",11,"63,344",454,"26,355","93,516","281,824 "
118,Malta,"16,542",,250 ,,"13,646",,"2,646",18,"37,408",565,"586,434","1,326,150","442,208 "
119,Mauritania,"16,357",,416 ,,"15,127",,814,29,"3,467",88,"139,618","29,595","4,717,689 "
120,French Guiana,"15,664",,76 ,,"9,995",,"5,593",11,"51,698",251,"127,905","422,140","302,992 "
121,Maldives,"14,885",,50  ,,"13,813",,"1,022",54,"27,268",92,"382,741","701,150","545,876 "
122,Jamaica,"14,772",,336 ,,"11,850",,"2,586",13,"4,976",113,"157,632","53,102","2,968,467 "
123,Eswatini,"14,330",,458 ,,"9,102",,"4,770",67,"12,280",392,"124,074","106,326","1,166,924 "
124,Guinea,"14,300",,81 ,,"13,632",,587,24,"1,073",6,"118,565","8,894","13,330,964 "
125,Syria,"13,557",,879 ,,"6,989",,"5,689",,764,50,,,"17,737,638 "
126,Thailand,"13,500",+198,73 ,+1,"10,567",+119,"2,860",1,193,1,"1,217,873","17,423","69,899,018 "
127,Cabo Verde,"13,414",,124 ,,"12,646",,644,23,"23,980",222,"111,390","199,130","559,384 "
128,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,378",9,,,"9,657,212 "
129,Rwanda,"12,647",,172 ,,"8,319",,"4,156",,963,13,"822,515","62,639","13,131,128 "
130,Belize,"11,722",,290 ,,"11,050",,382,1,"29,183",722,"67,235","167,389","401,669 "
131,Haiti,"11,099",,243 ,,"8,982",,"1,874",,967,21,"45,894","3,998","11,480,655 "
132,Gabon,"10,278",,67 ,,"9,902",,309,10,"4,558",30,"422,091","187,178","2,255,023 "
133,Hong Kong,"10,010",,168 ,,"8,997",,845,38,"1,329",22,"6,442,498","855,435","7,531,257 "
134,Burkina Faso,"9,967",,109 ,,"7,988",,"1,870",,470,5,,,"21,222,074 "
135,Réunion,"9,701",,45 ,,"9,261",,395,8,"10,792",50,"98,785","109,894","898,915 "
136,Andorra,"9,499",,96 ,,"8,588",,815,15,"122,829","1,241","180,088","2,328,674","77,335 "
137,Guadeloupe,"8,980",,154 ,,"2,242",,"6,584",3,"22,441",385,"112,838","281,980","400,163 "
138,Bahamas,"8,101",,175 ,,"6,720",,"1,206",12,"20,490",443,"57,484","145,397","395,360 "
139,Suriname,"8,000",,148 ,,"7,139",,713,9,"13,569",251,"34,326","58,220","589,592 "
140,Mali,"7,965",,323 ,,"5,705",,"1,937",,387,16,"138,180","6,716","20,574,930 "
141,Congo,"7,794",,117 ,,"5,846",,"1,831",,"1,393",21,"73,120","13,072","5,593,780 "
142,Lesotho,"7,656",,123 ,,"2,168",,"5,365",,"3,558",57,"45,863","21,314","2,151,820 "
143,Trinidad and Tobago,"7,462",,134 ,,"7,002",,326,2,"5,322",96,"80,418","57,357","1,402,050 "
144,Mayotte,"7,250",,58 ,,"2,964",,"4,228",4,"26,222",210,"50,331","182,039","276,485 "
145,Guyana,"7,222",,170 ,,"6,361",,691,7,"9,157",216,"46,347","58,764","788,695 "
146,Aruba,"6,708",,56 ,,"6,172",,480,11,"62,679",523,"79,732","745,006","107,022 "
147,Martinique,"6,327",,44 ,,98,,"6,185",2,"16,868",117,"82,508","219,963","375,100 "
148,Nicaragua,"6,204",,168 ,,"4,225",,"1,811",,930,25,,,"6,668,861 "
149,Iceland,"5,981",,29 ,,"5,868",,84,,"17,463",85,"465,570","1,359,360","342,492 "
150,Djibouti,"5,918",,61 ,,"5,837",,20,,"5,941",61,"105,809","106,227","996,063 "
151,Equatorial Guinea,"5,401",,86 ,,"5,197",,118,,"3,781",60,"84,190","58,935","1,428,522 "
152,CAR,"4,974",,63 ,,"4,885",,26,2,"1,020",13,"35,523","7,284","4,876,801 "
153,Somalia,"4,754",,130 ,,"3,666",,958,,295,8,,,"16,139,757 "
154,Togo,"4,636",,74 ,,"3,976",,586,,553,9,"199,620","23,801","8,386,946 "
155,Curaçao,"4,543",,20 ,,"4,419",,104,3,"27,622",122,"42,533","258,603","164,472 "
156,Niger,"4,321",,151 ,,"3,436",,734,3,175,6,"71,292","2,887","24,690,917 "
157,Gambia,"3,958",,128 ,,"3,703",,127,1,"1,613",52,"32,962","13,430","2,454,412 "
158,Gibraltar,"3,935",,62 ,,"3,194",,679,89,"116,818","1,841","149,610","4,441,443","33,685 "
159,South Sudan,"3,788",,64 ,,"3,542",,182,2,336,6,"83,534","7,414","11,267,510 "
160,Benin,"3,643",,48 ,,"3,317",,278,,296,4,"408,081","33,177","12,299,967 "
161,Channel Islands,"3,430",,79 ,,"3,186",,165,10,"19,626",452,"304,829","1,744,222","174,765 "
162,Chad,"3,137",,115 ,,"2,240",,782,,188,7,,,"16,687,780 "
163,Sierra Leone,"3,120",,77 ,,"2,187",,856,,387,10,,,"8,067,658 "
164,San Marino,"2,874",,65 ,,"2,615",,194,11,"84,602","1,913","32,314","951,223","33,971 "
165,Guinea-Bissau,"2,510",,45 ,,"2,405",,60,5,"1,259",23,"39,578","19,849","1,993,941 "
166,Liechtenstein,"2,437",,52 ,,"2,322",,63,6,"63,813","1,362","23,431","613,538","38,190 "
167,New Zealand,"2,283",+7,25 ,,"2,179",+1,79,,456,5,"1,487,234","297,322","5,002,100 "
168,Comoros,"2,260",,70 ,,"1,315",,875,,"2,568",80,,,"879,948 "
169,Yemen,"2,118",,615 ,,"1,423",,80,23,70,20,"17,404",576,"30,192,717 "
170,Eritrea,"1,940",,6 ,,"1,304",,630,,543,2,"23,693","6,629","3,573,978 "
171,Liberia,"1,914",,84 ,,"1,714",,116,2,374,16,"62,223","12,143","5,123,981 "
172,Sint Maarten,"1,724",,27 ,,"1,564",,133,1,"39,954",626,"13,533","313,627","43,150 "
173,Mongolia,"1,627",+16,2 ,,"1,149",+24,476,7,492,0.6,"950,583","287,369","3,307,885 "
174,Vietnam,"1,548",,35 ,,"1,411",,102,,16,0.4,"1,431,631","14,634","97,831,852 "
175,Burundi,"1,438",,2 ,,773,,663,,119,0.2,"90,019","7,447","12,087,422 "
176,Monaco,"1,345",,9 ,,"1,100",,236,9,"34,138",228,"51,953","1,318,638","39,399 "
177,Barbados,"1,341",,9 ,,622,,710,1,"4,663",31,"98,318","341,888","287,574 "
178,Turks and Caicos,"1,287",+43,7 ,,998,+38,282,8,"32,991",179,"13,289","340,648","39,011 "
179,Sao Tome and Principe,"1,188",,17 ,,997,,174,,"5,365",77,"7,498","33,861","221,437 "
180,Saint Martin,"1,146",,12 ,,"1,006",,128,7,"29,358",307,"12,433","318,509","39,035 "
181,Seychelles,"1,033",,3 ,,681,,349,,"10,467",30,"5,200","52,690","98,691 "
182,Taiwan,889,+5,7 ,,787,+4,95,,37,0.3,"144,679","6,068","23,841,161 "
183,Bhutan,854,,1 ,,702,,151,,"1,100",1,"415,427","535,077","776,387 "
184,Papua New Guinea,835,,9 ,,790,,36,,92,1.0,"40,697","4,501","9,041,850 "
185,Saint Lucia,770,,10 ,,412,,348,1,"4,182",54,"22,832","124,019","184,101 "
186,St. Vincent Grenadines,720,,2 ,,134,,584,2,"6,478",18,"24,866","223,738","111,139 "
187,Diamond Princess,712,,13 ,,699,,0,,,,,, 
188,Bermuda,686,,12 ,,625,,49,6,"11,038",193,"159,226","2,562,087","62,147 "
189,Faeroe Islands,652,,1 ,,644,,7,,"13,315",20,"217,483","4,441,329","48,968 "
190,Mauritius,556,,10 ,,518,,28,,437,8,"289,552","227,463","1,272,962 "
191,Tanzania,509,,21 ,,183,,305,7,8,0.3,,,"60,679,823 "
192,Cambodia,458,+2, ,,405,+2,53,,27,,"384,988","22,849","16,848,873 "
193,Isle of Man,432,,25 ,,364,,43,1,"5,065",293,"26,837","314,667","85,287 "
194,Cayman Islands,383,,2 ,,346,,35,1,"5,789",30,"65,821","994,936","66,156 "
195,Caribbean Netherlands,360,,3 ,,244,,113,,"13,657",114,"5,145","195,182","26,360 "
196,St. Barth,300,,1 ,,204,,95,,"30,321",101,"8,518","860,926","9,894 "
197,Antigua and Barbuda,195,,6 ,,162,,27,1,"1,982",61,"8,200","83,345","98,386 "
198,Brunei ,175,,3 ,,169,,3,,398,7,"88,913","202,150","439,837 "
199,Grenada,147,,1 ,,135,,11,,"1,303",9,"18,895","167,484","112,817 "
200,British Virgin Islands,114,,1 ,,95,,18,,"3,757",33,"13,223","435,770","30,344 "
201,Dominica,113,, ,,105,,8,,"1,568",,"8,640","119,855","72,087 "
202,Timor-Leste,64,, ,,49,,15,,48,,"18,620","13,974","1,332,494 "
203,Fiji,55,,2 ,,53,,0,,61,2,"24,545","27,269","900,108 "
204,Macao,47,, ,,46,,1,,72,,"4,348","6,645","654,305 "
205,New Caledonia,44,, ,,43,,1,,153,,"19,879","69,254","287,043 "
206,Laos,41,, ,,41,,0,,6,,"99,318","13,541","7,334,808 "
207,Falkland Islands,35,, ,,29,,6,,"9,898",,"6,299","1,781,391","3,536 "
208,Saint Kitts and Nevis,35,, ,,33,,2,,655,,"6,470","121,136","53,411 "
209,Greenland,30,, ,,30,,0,,528,,"17,382","305,881","56,826 "
210,Vatican City,27,, ,,15,,12,,"33,666",,,,802 
211,Solomon Islands,17,, ,,10,,7,,24,,"4,500","6,463","696,272 "
212,Saint Pierre Miquelon,16,, ,,16,,0,,"2,769",,"3,344","578,747","5,778 "
213,Anguilla,15,, ,,15,,0,,995,,"6,449","427,709","15,078 "
214,Montserrat,13,,1 ,,12,,0,,"2,603",200,626,"125,350","4,994 "
215,Western Sahara,10,,1 ,,8,,1,,17,2,,,"605,524 "
216,MS Zaandam,9,,2 ,,7,,0,,,,,, 
217,Marshall Islands,4,, ,,4,,0,,67,,,,"59,415 "
218,Wallis and Futuna,4,, ,,4,,0,,360,,"1,149","103,272","11,126 "
219,Samoa,2,, ,,2,,0,,10,,,,"199,158 "
220,Micronesia,1,, ,,,,1,,9,,,,"115,701 "
221,Vanuatu,1,, ,,1,,0,,3,,470,"1,511","311,148 "
,Total:,"99,363,402","+63,557","2,131,261","+2,435","71,429,623","+71,698","25,802,518","110,658","12,747.4",273.4,,,
